name,miles,price,dealer,rating,reviews,image
2019 Mercedes-Benz S-Class S 560 4MATIC,"33,883 mi.","$79,882",Mercedes-Benz of Rockville Centre,4.8,"1,288 reviews",https://platform.cstatic-images.com/large/in/v2/066127c7-ed64-5194-b536-751b4e983ec9/b33e5a3a-4b8f-43bf-bfd1-9b56065ca717/vOUlHW2YvOGhbjzsA1uXPWcHejk.jpg
2003 Mercedes-Benz SL-Class SL500 Roadster,"70,000 mi.","$12,999",VCD Auto Group,5.0,6 reviews,https://platform.cstatic-images.com/large/in/v2/e19fd365-536f-580b-9cf5-c527fc376ff1/eaad2574-49db-4036-8ee1-967a25f5d121/xAY6u0YhdrFgTbk8xFZ6YYRjA2U.jpg
2019 Mercedes-Benz GLS 550 Base 4MATIC,"14,376 mi.","$78,985",Fox Ford Lincoln,4.8,"1,629 reviews",https://platform.cstatic-images.com/large/in/v2/37aa0ac1-8e11-5cee-93ad-f661d1eac3ba/3198707d-1c81-40ae-9f7d-4e5b33edab9e/xRAPx5Pwho9h-bK1HcSrsut032o.jpg
2016 Mercedes-Benz C-Class C 300,"35,340 mi.","$26,400",Deluxe Auto Sales,4.7,"1,555 reviews",https://platform.cstatic-images.com/large/in/v2/cb9beaae-9cb6-5bf7-b9d5-ecf57243e85e/82438c71-7d7f-4c04-ad48-9329d8e82bd7/dma1lEjLc5LCpirF656jc8YcjrI.jpg
2006 Mercedes-Benz E-Class E 350,"52,450 mi.","$13,890",Precise Automotive Group,2.3,16 reviews,https://platform.cstatic-images.com/large/in/v2/b79a1c23-823f-5da1-a4d1-f4ca960e1837/61723e81-c03b-4fd6-ad89-d4c4ac0ac33f/qg6G8QQqFmpL8ZF6luVQ3rHxgeA.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"36,990 mi.","$69,995",Mercedes-Benz of Edison,4.9,"2,535 reviews",https://platform.cstatic-images.com/large/in/v2/a3dbaec2-09fa-551b-9fd1-b8424b8ae645/fa6e8c28-fc97-42b6-9c02-10c9dcb02038/_osGajtc1xwk20Pn8ljHXM77uY8.jpg
2016 Mercedes-Benz C-Class C 300,"44,636 mi.","$26,168",Dyer Kia,4.8,187 reviews,https://platform.cstatic-images.com/large/in/v2/c13a718a-3517-595d-8983-d99df541e45f/f23ad027-ef81-439c-b90f-d956129b65b0/9KReha9rHv5TRq07P83p-A0AEjc.jpg
2020 Mercedes-Benz AMG G 63 Base,"16,801 mi.","$238,990",Ocean Mazda,4.8,"1,339 reviews",https://platform.cstatic-images.com/large/in/v2/c6cd6808-f09e-5489-9a5a-a803bafe83f7/6fbf53c0-e7e9-430f-aa6b-fc7da3d5bffc/YmJonWw7klt8vb-3N-cJDLiEx4c.jpg
2020 Mercedes-Benz AMG G 63 Base,"14,946 mi.","$244,950",Prestige Imports,3.7,27 reviews,https://platform.cstatic-images.com/large/in/v2/d6d3bd58-65c9-5628-b1e7-f805d1a2908d/cc577a64-6e04-4b40-9f58-79b3222aaeec/OU3YIGPiAe7OqG6imNWh4kspxq0.jpg
2017 Mercedes-Benz E-Class E 300 Luxury,"40,625 mi.","$35,998",Mercedes-Benz of Houston North,4.5,"1,179 reviews",https://platform.cstatic-images.com/large/in/v2/5996fd14-0a06-5cb6-a75f-275f99a95b85/3cacf180-8a42-493f-a974-c6d9ca7dcab5/U314v8wlSNeWWFfx7taSSSVxzkc.jpg
2018 Mercedes-Benz C-Class C 300 4MATIC,"22,189 mi.","$33,495",Hyundai of Palatine,4.5,464 reviews,https://platform.cstatic-images.com/large/in/v2/d4e444a5-ba88-5126-b86a-1bedfc32044b/30cafd5a-4897-4fc4-96cb-a7ff95043754/huc-siMojnJynhdqngPusSksPRU.jpg
2020 Mercedes-Benz GLB 250 Base 4MATIC,"14,720 mi.","$43,408",Mercedes-Benz of San Jose,4.6,585 reviews,https://platform.cstatic-images.com/large/in/v2/a0e27471-d64f-53c6-99d3-b507304ab5be/1b782062-bfee-43e1-a88f-e62bce388ae0/cIs6WhY5XzZJKhBG-j5yeJcGrvE.jpg
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"4,944 mi.","$81,999",Mercedes Benz of Hoffman Estates,4.7,"1,069 reviews",https://platform.cstatic-images.com/large/in/v2/2b427266-2af3-56d8-af22-5491142dc936/39e78f1f-c2c8-4b55-8118-963b6c464a86/XLgviXqjgG66qCwZowAVS3ehBKc.jpg
2019 Mercedes-Benz GLS 450 ,"32,026 mi.","$63,981",Woburn Toyota,4.5,"2,435 reviews",https://platform.cstatic-images.com/large/in/v2/8d73f1bd-b0bb-5d2d-949e-f5efe0df7b14/6a8ed166-4508-46bf-a4b7-e905f181d06d/2XHE4U-d3eFRpRDJBfkZMblbX4c.jpg
2020 Mercedes-Benz GLE 350 Base 4MATIC,"33,400 mi.","$56,345",Mercedes-Benz of White Plains,4.9,"1,636 reviews",https://platform.cstatic-images.com/large/in/v2/8f355c82-9b4f-5236-b09d-e4a44553a2b6/bf797dda-1c0c-4d3f-9c2c-13344b1483e0/QEVpMfASxb4uCPcQFneKNptKmq0.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"30,324 mi.","$69,990",Knauz Auto Park,4.8,"1,968 reviews",https://platform.cstatic-images.com/large/in/v2/89181cc8-6019-5f77-bfde-9bb5fc867004/835b7a64-2f09-4f0c-a175-aeefc738a46a/vLxogOW1mJAkuvmj8sAeNfEEHOg.jpg
2019 Mercedes-Benz CLA 250 Base 4MATIC,"19,081 mi.","$32,689",EchoPark Automotive New Orleans Delivery Center,2.0,1 review,https://platform.cstatic-images.com/large/in/v2/dc6e0f68-71c6-4c8a-8597-e31e82e8dab1/0e20ffe9-2f15-4a8d-8615-951186373ac4/c0U8NYwzF_PzWYVrOoKh5vM0CBs.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"35,133 mi.","$69,671",Car Giants,5.0,6 reviews,https://platform.cstatic-images.com/large/in/v2/b537c828-73cc-5bda-9fd4-f927c33980fa/d031e07f-688d-401f-b08d-5843ea6d39dd/PI0ySLYJfYwhnXhAm2Pg0eYYJIo.jpg
2010 Mercedes-Benz GLK-Class GLK 350 4MATIC,"98,490 mi.","$14,997",Nations Auto,4.5,11 reviews,https://platform.cstatic-images.com/large/in/v2/c45c4f17-f5a9-505a-a26b-c6a535793e96/242e8799-6e1a-45f2-b7bc-df5bcba57af6/h4uFsg8SxtRzUnWopdPiTZWceFQ.jpg
2011 Mercedes-Benz S-Class S 63 AMG,"79,224 mi.","$32,900",McKinney Dodge Ram Chrysler Jeep,4.4,65 reviews,https://platform.cstatic-images.com/large/in/v2/3ab2351e-c8e5-5a26-a790-43c811c77f01/c3778a3f-ad4e-4ddf-bde7-552fa3f392d6/zMElTDquoD3CTzuFpMpyl-m9sSo.jpg
2021 Mercedes-Benz C-Class C 300,"17,753 mi.","$53,534",INFINITI of Birmingham,5.0,856 reviews,https://platform.cstatic-images.com/large/in/v2/232cb8df-cd96-5ef1-a562-30d8eec0aa79/4926cb1b-83a6-409d-b52a-26ea7538223e/wheLkUc4nJ5YBUjvD4yi4wbpvDY.jpg
2018 Mercedes-Benz GLE 350 Base,"47,580 mi.","$35,495",Car Castle,2.7,45 reviews,https://platform.cstatic-images.com/large/in/v2/9649f560-eb5c-5372-a437-9073e96c3609/08fa6c44-9705-454d-b56d-6b0afa03bb6a/06VBKuPUMuKyT3r5vSg-tYW2WMw.jpg
2019 Mercedes-Benz C-Class C 300 4MATIC,"11,225 mi.","$44,395",BMW of Towson,4.4,77 reviews,https://platform.cstatic-images.com/large/in/v2/44279cdd-de15-4dd9-8e6b-82166baefcf7/a00f36f1-b395-4c59-982a-f4964a145e2e/WckVGw9GOAd4bW45ihnd-rlWz1E.jpg
2019 Mercedes-Benz AMG GLC 63 Base 4MATIC,"24,513 mi.","$69,992",Lee Johnson Chevrolet Mazda Kia,4.7,195 reviews,https://platform.cstatic-images.com/large/in/v2/4b28fa0b-71ed-538d-99c5-0b147df8707a/15f7cd4d-3346-4c66-8299-ab1eb4c7fbb6/hNBnm8OH2XZTCuQlB73JZ78ju8c.jpg
