Name,Release,Director,Stars
The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins,Morgan Freeman,Bob Gunton"
The Godfather,1972,Francis Ford Coppola,"Marlon Brando,Al Pacino,James Caan"
The Dark Knight,2008,Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart"
The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino,Robert De Niro,Robert Duvall"
12 Angry Men,1957,Sidney Lumet,"Henry Fonda,Lee J. Cobb,Martin Balsam"
